NUM ACTIONNNEUR;N° DE SERIE ACTIONNEUR;TYPE ACTIONNEUR;TAILLE ACTIONNEUR;SENS UNIQUE;CONTACT STATUS;CDE MANU;PRES. ALIM;EFFET SIMPLE/DOUBLE;FOURNISSEUR ACTIONNEUR;TYPE CONTACTS
172;2155498;F89E-004;;;FERM+OUVER;0;8-3 BARS MAX;DOUBLE;17;NC
173;98112002006;DR 40-0 C19;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
174;97823003010;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
175;97823003039;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
176;97823003006;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
177;98187001019;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
178;97823003017;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
179;97823003031;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC 
180;97823003012;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
181;2155496;F89E-004;;;FERM+OUVER;0;8-3 BARS MAX;DOUBLE;17;NC
182;96747006004;DR 40-0 C19;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
183;76218358/0111;ACTAIR 25;25;;FERM+OUVER;0;5 BARS MAX;DOUBLE;2;IS 5026
184;76218358/0111;ACTAIR 25;25;;FERM+OUVER;0;5 BARS MAX;DOUBLE;2;IS 5026
185;76218358/0111;ACTAIR 25;25;;FERM+OUVER;0;5 BARS MAX;DOUBLE;2;IS 5026
186;76218358/0111;ACTAIR 25;25;;FERM+OUVER;0;5 BARS MAX;DOUBLE;2;IS 5026
187;;EDO 600.M1A00A0NO;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;35;IFM IFT203
188;265362005/11;EDO600.M1A00A0N0;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;35;IFM IFT203
189;264563008/11;EDO 600.M1A00A0NO;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;35;IFM IFT203
190;265362008/11;EDO 600.M1A00A0NO;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;35;IFM IFT203
191;9973390599/900;ACTAIR;12;;FERM+OUVER;;8 BARS MAX;DOUBLE;2;AMTROBOX
192;;F89E-00601;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;0;NC
193;;F89E-00601;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;0;NC
194;;F89E-00601;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;0;NC
195;;F89E-00601;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;0;NC
196;;F89E-00301;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;0;NC
197;;F89E-00301;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;0;NC
198;573922;PREMIAIR 025;45;;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;NC
199;;ACTAIR 12;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;2;Amtrobox
200;860132;F79E;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;NC
201;18-24261;RC210-DA;11;OMA;;0;10 BARS MAX;DOUBLE;38;NC
202;19-24560;RC210-DA;11;;;0;10 BARS MAX;DOUBLE;38;NC
203;18-24261;RC210-DA;11;;;0;10 BARS MAX;DOUBLE;38;NC
204;18-24234;RC210-DA;11;;;0;10 BARS MAX;DOUBLE;38;NC
205;19-24560;RC210-DA;11;;;0;10 BARS MAX;DOUBLE;38;NC
206;18-24234;RC210-DA;11;;;0;10 BARS MAX;DOUBLE;38;NC
207;19-24560;RC210-DA;11;;;0;10 BARS MAX;DOUBLE;38;NC
208;19-24560;RC210-DA;11;;;0;10 BARS MAX;DOUBLE;38;NC
209;18-24234;RC210-DA;11;;;0;10 BARS MAX;DOUBLE;38;NC
210;;ACTAIR 12;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;2;Amtrobox
211;O129166;F89E-020;20;;;0;10 BARS MAX;DOUBLE;10;NC
212;11/20410;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
213;11/20410;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
214;12/21382;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
215;12/21382;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
216;12/21382;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
217;11/20410;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
218;;4001 A;;;;0;7 BARS MAX;DOUBLE;0;NC
219;;;;;;0;;DOUBLE;33;NC
220;11/20410;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
221;11/20410;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
222;11/20410;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
223;;Régulactair;61 B;FMA;;1;3-9 BARS MAX;DOUBLE;2;NC
224;;ACTAIR 200;200;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
225;9972140750/0400;ACTAIR;200;;;1;8 BARS MAX;DOUBLE;2;NC
226;9972140750/0400;Actair 200 R1126;200;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IFM IS 5884
227;9972324707/300;ACTAIR 200;200;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
228;9972140750/0400;ACTAIR 200;200;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
229;9972140750;ACTAIR 200;200;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
230;;Régulactair;61 B;FMA;;1;3-9 BARS MAX;DOUBLE;2;NC
231;9972140750/0400;ACTAIR ;200;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
232;R724 0210275;Régulactair;61 C;FMA;;1;3-9 BARS MAX;DOUBLE;2;NC
233;9973390599 700;ACTAIR ;100;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
234;R724 021C 281;Régulactair;61 C;FMA;;1;3-9 BARS MAX;DOUBLE;2;NC
235;9973390599 600;ACTAIR;100;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
236;;Régulactair;61 C;FMA;;1;3-9 BARS MAX;DOUBLE;2;NC
237;9972590077/300;ACTAIR 100;100;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
238;880255;Régulactair;31 B;FMA;;1;3-9 BARS MAX;DOUBLE;2;NC
239;9973390599 400;ACTAIR;100;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
240;380181;Régulactair;31 C;;;1;3-9 BARS MAX;DOUBLE;2;NC
241;9973390599/500;Actair;100;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
242;9972143670-04-12;ACTAIR 400;400;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;NC
243;9972591877-1-14;Actair 400;400;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
244;99722143670-04-12;ACTAIR 400;400;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
245;9972143670-04-12;ACTAIR 400;400;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
246;9972143670-04-12;ACTAIR 400;400;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
247;V371120;Régulactair;101 B;;;1;0 BARS MAX;DOUBLE;2;NC
248;83721;Régulactair;61 B;;FERM+OUVER;1;3-9 BARS MAX;DOUBLE;2;NC
249;9973390599/100;ACTAIR;200;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
250;R72383781;Régulactair;61 B;;FERM+OUVER;1;3-9 BARS MAX;DOUBLE;2;NC
251;9973390599/300;Actair;200;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
252;9973390599/200;Actair;100;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
253;76011971/0120;ACTAIR 100;100;;FERM+OUVER;;3-6 BARS MAX;DOUBLE;2;NC
254;9973390599/800;Actair;100;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
255; ;Régulactair 401 B;401B;;FERM+OUVER;;3-9 BARS MAX;DOUBLE;2;I 56
256;F-15-221168-001-1;Camflex II;178 mm;FMA;FERM+OUVER;;2-8 BARS MAX;SIMPLE;18;I 56
257;7124005010;RC220-DA;;;;0;10 BARS MAX;DOUBLE;38;NC
258;76045403/0320;ACTAIR;50;;;1;10 BARS MAX;DOUBLE;2;NC
259;;Actair;25;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
260;F-15-221168-002-01;Camflex II;"152 mm (6"")";OMA;FERM+OUVER;;1-4 BARS MAX;SIMPLE;18;I 56
261;EU03267209;1052;40;OMA;;;4-5 BARS MAX;SIMPLE;12;NC
262;63-541503-1;SIGMA;;OMA;;;1-4 BARS MAX;SIMPLE;18;NC
263;EU03267209;1052;40;OMA;;;4-5 BARS MAX;SIMPLE;12;NC
264;05-190620;ACTAIR;400;;;1;;DOUBLE;2;NC
265;TCV;840 H;250;FMA;;1;5 BARS MAX;SIMPLE;4;NC
266;62-8734-01-1;CAMFLEX II;178 mm;FMA;;;2-1 BARS MAX;SIMPLE;18;NC
267;;796-012;12;;FERM+OUVER;1;5-5 BARS MAX;DOUBLE;10;SWITCH MILTAC
268;;VERIN;;;FERM+OUVER;0;6 BARS MAX;DOUBLE;24;TELEMECA XCKM
269;;VERIN;;;FERM+OUVER;0;6 BARS MAX;DOUBLE;24;TELEMECA XCKM
270;;VERIN;;;FERM+OUVER;0;6 BARS MAX;DOUBLE;24;TELEMECA XCKM
271;09/18537;DR 10-0;;;;1;0 BARS MAX;DOUBLE;21;NC
272;00/3340;SR 20-04;;;;1;10 BARS MAX;DOUBLE;21;NC
273;76135433/0120;ACTAIR R1123 1;25;;;1;10 BARS MAX;DOUBLE;2;NC
274;;;;;;;;;0;NC
275;;;;;;;;;0;NC
276;;;;;;;;;0;NC
277;;;;;;;;;0;NC
278;;796 002;;;;1;5-5 BARS MAX;DOUBLE;10;NC
279;;S60/12;12;FMA;;1;8 BARS MAX;SIMPLE;21;NC
280;0297/246341 008;S60/12;12;FMA;;0;8 BARS MAX;SIMPLE;21;NC
281;1296/233108 020;S60/12;12;FMA;;0;8 BARS MAX;SIMPLE;21;NC
282;1296/236642 003;S60/12;12;FMA;;0;8 BARS MAX;SIMPLE;21;NC
283;6301417;DP3;3;;;1;8 BARS MAX;DOUBLE;21;NC
284;;DP3;3;;;1;8 BARS MAX;DOUBLE;21;NC
285;197815;PemiAir 004;4;;FERM+OUVER;0;0 BARS MAX;DOUBLE;10;IFM IS-5026
286;;F79E-006M;;;;0;8 BARS MAX;;10;NC
287;;F79E-006M;;;;0;8 BARS MAX;;10;NC
288;;F79E-006M;;;;0;8 BARS MAX;;10;NC
289;;F79E-006M;;;;0;8 BARS MAX;;10;NC
290;726038;F79E-006M;;;;1;8 BARS MAX;;10;NC
291;;F89E-004;;;;0;0 BARS MAX;DOUBLE;0;NC
292;;;;;;;8 BARS MAX;;10;NC
293;24918;796003;3;;;1;7 BARS MAX;DOUBLE;10;NC
