NUM ACTIONNNEUR;FOURNISSEUR ACTIONNEUR;TYPE ACTIONNEUR;TAILLE ACTIONNEUR;N° DE SERIE ACTIONNEUR;SENS OMA;SENS FMA;TYPE CONTACTS;CONTACT OUVERTURE;CONTACT FERMETURE;CDE MANU. OUI;CDE MANU. NON;PRES. ALIM;SIMPLE EFFET;DOUBLE EFFET
139;MASONEILAN;CAMFLEX II;152 mm;F-12-217037-001-05;0;X;I 56;X;X;0;;1,7 bar;X;0
140;MASONEILAN;CAMFLEX II;152 mm;F-12-217037-001-06;0;X;I 56;X;X;0;;1,7 bar;X;0
141;MASONEILAN;CAMFLEX II;152 mm;F-12-217037-001-4;0;X;I 56;X;X;0;;1,7 bar;X;0
142;MASONEILAN;CAMFLEX II;152 mm;F-12-217037-001-3;0;X;I 56;X;X;0;;1,7 bar;X;0
143;MASONEILAN;CAMFLEX II;152 mm;F-12-217037-001-01;0;X;I 56;X;X;0;;1,7 bar;X;0
144;MASONEILAN;CAMFLEX II;152 mm;F-12-217037-001-02;0;X;I 56;X;X;0;;1,7 bar;X;0
145;MASONEILAN;CAMFLEX II;152 mm;61-837901-1;0;X;I 56;X;X;0;;1,8 bar;X;0
146;MASONEILAN;CAMFLEX II 35-35202;152 mm;61-837901-2;;X;I 56;X;X;;;1,8 bar;X;
147;AMRI KSB;ACTAIR 200;200;9972324707/100-01-13;0;0;I 56;X;X;X;;8 bar max;0;X
148;SAPAG;DR 10-0;10;12/21530;;;;;;;X;10 bar max;;X
149;SAPAG;SNH ;25;0;0;X;0;0;0;X;;8 bar max;X;0
150;SCHLUMBERGER SEREG VANNES;Maxflo MTLD;0;0;X;0;0;0;0;0;;1,4 bar;X;0
151;SCHLUMBERGER SEREG VANNES;Maxflo MTLD;SM2;MTLD11A231A;X;0;0;0;0;0;;1,4 bar;X;0
152;SCHLUMBERGER SEREG VANNES;Maxflo MTLD;SM2;1B502T;X;0;0;0;0;0;;1,4 bar;X;0
153;MASONEILAN;Camflex II;152 mm;F-14-219853-001-1;0;X;I 56;X;X;0;;1,7 bar;X;0
154;MASONEILAN;Camflex II;114 mm;62-5571.01.2;0;X;0;0;0;X;0;1,4 bar;X;0
155;MASONEILAN;CAMFLEX II;114 mm;62.5571.01.1;;X;MAISON/TELEM.;;X;;;1,4 bar;X;
156;MASONEILAN;CAMFLEX II;114 mm;64-2133-01-1;;X;;;;;;1,4 bar;X;
157;MASONEILAN;CAMFLEX II;114 mm;64-2133-01-3;;X;;;;;;1,4 bar;X;
158;MASONEILAN;CAMFLEX II;114 mm;64-2133-01-2;;X;;;;;;1,4 bar;X;
159;GEMU;0;0;0;0;0;0;0;0;0;;0;X;0
160;GEMU;0;0;0;0;0;0;0;0;0;;0;X;0
161;EL-O-MATIC;EDO 600.M1A00A.00NO;0;265362002/11;0;0;IFM IFT 203;X;X;0;X;0;0;X
162;EL-O-MATIC;EDO 600.M1A00A.00NO;0;265362006/11;0;0;IFM IFT 203;X;X;0;X;0;0;X
163;EL-O-MATIC;EDO 600.M1A00A.00NO;0;274746006/11;0;0;IFM IFT 203;X;X;0;X;0;0;X
164;EL-O-MATIC;EDO 600.M1A00A.00NO;0;265362001/11;0;0;IFM IFT 203;X;X;0;X;0;0;X
165;EMERSON;DR 10-2 C11;0;98187001013;0;0;NC;X;X;0;X;10 bar max;0;X
166;EMERSON;DR 10-2 C11;0;97823003015;0;0;NC;X;X;0;X;10 bar max;0;X
167;EMERSON;DR 10-2 C11;0;97823003041;0;0;NC;X;X;0;X;10 bar max;0;X
168;EMERSON;DR 10-2 C11;0;97823003005;0;0;NC;X;X;0;X;10 bar max;0;X
169;EMERSON;DR 10-2 C11;0;97823003009;0;0;NC;X;X;0;X;10 bar max;0;X
170;EMERSON;DR 10-2 C11;0;97823003030;0;0;NC ;X;X;0;X;10 bar max;0;X
171;EMERSON;DR 10-2 C11;0;97823003011;0;0;NC;X;X;0;X;10 bar max;0;X
172;KEYSTONE;F89E-004;0;2155498;0;0;NC;X;X;0;X;8,3;0;X
173;EMERSON;DR 40-0 C19;0;98112002006;0;0;NC;X;X;0;X;10 BAR MAX;0;X
174;EMERSON;DR 10-2 C11;0;97823003010;0;0;NC;X;X;0;X;10 bar max;0;X
175;EMERSON;DR 10-2 C11;0;97823003039;0;0;NC;X;X;0;X;10 bar max;0;X
176;EMERSON;DR 10-2 C11;0;97823003006;0;0;NC;X;X;0;X;10 bar max;0;X
177;EMERSON;DR 10-2 C11;0;98187001019;0;0;NC;X;X;0;X;10 bar max;0;X
178;EMERSON;DR 10-2 C11;0;97823003017;0;0;NC;X;X;0;X;10 bar max;0;X
179;EMERSON;DR 10-2 C11;0;97823003031;0;0;NC ;X;X;0;X;10 bar max;0;X
180;EMERSON;DR 10-2 C11;0;97823003012;0;0;NC;X;X;0;X;10 bar max;0;X
181;KEYSTONE;F89E-004;0;2155496;0;0;NC;X;X;0;X;8,3;0;X
182;EMERSON;DR 40-0 C19;0;96747006004;0;0;NC;X;X;0;X;10 BAR MAX;0;X
183;AMRI KSB;ACTAIR 25;25;76218358/0111;0;0;IS 5026;X;X;0;X;5 bars mini;0;X
184;AMRI KSB;ACTAIR 25;25;76218358/0111;0;0;IS 5026;X;X;0;X;5 bars mini;0;X
185;AMRI KSB;ACTAIR 25;25;76218358/0111;0;0;IS 5026;X;X;0;X;5 bars mini;0;X
186;AMRI KSB;ACTAIR 25;25;76218358/0111;0;0;IS 5026;X;X;0;X;5 bars mini;0;X
187;EL-O-MATIC;EDO 600.M1A00A.00NO;0;0;0;0;IFM IFT203;X;X;0;X;0;0;X
188;EL-O-MATIC;EDO600.M1A00A.00N0;0;265362005/11;0;0;IFM IFT203;X;X;0;X;0;0;X
189;EL-O-MATIC;EDO 600.M1A00A.00NO;0;264563008/11;0;0;IFM IFT203;X;X;0;X;0;0;X
190;EL-O-MATIC;EDO 600.M1A00A.00NO;0;265362008/11;0;0;IFM IFT203;X;X;0;X;0;0;X
191;AMRI KSB;ACTAIR;12;9973390599/900;0;0;AMTROBOX;X;X;0;;8 bar max;0;X
192;0;F89E-00601;0;0;0;0;0;X;X;0;X;0;0;X
193;0;F89E-00601;0;0;0;0;0;X;X;0;X;0;0;X
194;0;F89E-00601;0;0;0;0;0;X;X;0;X;0;0;X
195;0;F89E-00601;0;0;0;0;0;X;X;0;X;0;0;X
196;0;F89E-00301;0;0;0;0;0;X;X;0;X;0;0;X
197;0;F89E-00301;0;0;0;0;0;X;X;0;X;0;0;X
198;EMERSON;PREMIAIR 025;045;573922;0;0;0;X;X;X;;8 bar max;0;X
199;AMRI KSB;ACTAIR 12;0;0;0;0;Amtrobox;X;X;0;X;0;0;X
200;EMERSON;F79E;024;860132;;;;X;X;;X;8 bar max;;X
201;ROTORK;RC210-DA;11;18-24261;X;0;0;0;0;0;X;10 bar max;0;X
202;ROTORK;RC210-DA;11;19-24560;0;0;0;0;0;0;X;10 bar max;0;X
203;ROTORK;RC210-DA;11;18-24261;0;0;0;0;0;0;X;10 bar max;0;X
204;ROTORK;RC210-DA;11;18-24234;0;0;0;0;0;0;X;10 bar max;0;X
205;ROTORK;RC210-DA;11;19-24560;0;0;0;0;0;0;X;10 bar max;0;X
206;ROTORK;RC210-DA;11;18-24234;0;0;0;0;0;0;X;10 bar max;0;X
207;ROTORK;RC210-DA;11;19-24560;0;0;0;0;0;0;X;10 bar max;0;X
