NUM CORPS;FOURNISSEUR CORPS;TYPE CORPS;DN;PN;N° DE SERIE CORPS;CV;NORME BRIDES;CODE;MATIERE ARBRE;MATIERE SIEGE;MATIERE  ORG. REGLANT;M;MATIERE GARNITURES;TYPE GARNITURES
39;AMRI KSB;DANAIS 150;200;10;;0;0;16E 6FB;0;;INOX;Fonte;;0
40;AMRI KSB;DANAIS 150;200;10;0;0;0;16E 6FB;0;;INOX;Fonte;;0
41;AMRI KSB;DANAIS 150;200;10;;;;66E 6F B2B;;;CF8M;CF8M;;
42;EMERSON;FIG 14 222;200;10;;;;;inox;EPDM;INOX;FONTE GG25;Joint à lèvre;
43;EMERSON;FIG 14 222;200;10;;;;;Inox;EPDM;INOX;FONTE GG25;Joint à lèvre;
44;VALMET METSO;L12A150AA;150;10;0;0;0;0;INOX;INOX;INOX;INOX;0;0
45;AMRI KSB;ISORIA 10;150;10;1110175181;0;0;3G 6K 6XV;0;0;0;0;0;0
46;VALMET METSO;L12A150AA;150;10;0;0;0;0;INOX;INOX;INOX;INOX;0;0
47;EMERSON;FIG 9-102;150;10;0;0;0;0;Inox;EPDM;Inox;GG 25;Joint à lèvre;0
48;AMRI KSB;ISORIA 10;150;10;76140045/0110;;;2 M14 3G 6K6 XV;;XV;;;;
49;AMRI KSB;Isoria 10;100;10;9972324707/800;0;0;3G 6K 6XV;0;XV;0;0;0;0
50;AMRI KSB;Isoria 10;100;10;9972324707/800;0;0;3G 6K 6XV;0;XV;0;0;0;0
51;AMRI KSB;Isoria 10;100;10;9972324707/800;0;0;3G 6K 6XV;0;XV;0;0;0;0
52;AMRI KSB;Isoria 10;100;10;0;0;0;3G 6K 6XV;0;XV;0;0;0;0
53;AMRI KSB;Isoria 10;100;10;0;0;0;3G 6K 6XV;0;XV;0;0;0;0
54;AMRI KSB;ISORIA 10;100;10;0;0;0;3G 6K 6XV;0;XV;0;0;0;0
55;AMRI KSB;ISORIA 10;100;10;0;0;0;3G 6K 6XV;0;0;0;0;0;0
56;AMRI KSB;GAMMA;100;10;;;;;;XV;INOX;FONTE GG25;;
57;AMRI KSB;ISORIA 10;100;10;9974553509;0;0;3G 6K 6XV;0;XV;INOX;;0;0
58;AMRI KSB;ISORIA 10;100;10;0;0;0;3G 6K 6XV;INOX;XV;INOX;0;0;0
59;EMERSON;FIG 14 102;100;10;0;0;0;0;0;EPDM;INOX;GJL-250;0;0
60;EMERSON;FIG 14 102;100;10;0;0;0;0;0;EPDM;INOX;GJL-250;0;0
61;EMERSON;FIG 14 102;100;10;0;0;0;0;0;EPDM;INOX;GJL-250;0;0
62;EMERSON;OPTISEAL FIG 14-102;100;10;16/4342558;0;0;0;0;0;0;GGL 250;joint à lèvre;0
63;EMERSON;OPTISEAL FIG 14-102;100;10;03/284319;;;PRA00901XXOPM00;INOX;EPDM;INOX;EN-GJL-250;Joint à lèvre;
