ATELIER;Repère;AFFECTATION;MACHINE;N° COMMANDE;DATE ;FOURNISSEUR  VANNE;NUM POSITIONNEUR;NUM CORPS;NUM ACTIONNNEUR;VANNES TOR;VANNES REG;ORGANE  REGLANT;DATE ACHAT;FREQ. REVISION;VUE EN;A VOIR EN;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Lavage eau faisceau cuite de 2ème jet n°1;Cuites de 2ème jet;0;12/31/99;SAPAG;90;90;90;TOR;0;BOULE;2011;100;2011;2111;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Lavage eau faisceau cuite de 2ème jet n°2;Cuites de 2ème jet;0;12/31/99;SAPAG;91;91;91;TOR;0;Boule;2011;100;2011;2111;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Lavage eau faisceau cuite de 2ème jet n°3;Cuites de 2ème jet;10011AR;2/19/10;SAPAG;92;92;92;TOR;0;BOULE;2010;20;2014;2034;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 03 0439;Lavage eau faisceau cuite de 3ème jet n° 1;Cuites de 3ème jet;0;12/31/99;SAPAG;93;93;93;TOR;0;Boule;2011;100;2011;2111;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 03 0455;Lavage eau faisceau cuite de 3ème jet n°2;Cuites de 3ème jet;0;12/31/99;SAPAG;94;94;94;TOR;0;Boule;2011;100;2011;2111;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV11120091;Lavage jupe turbine 1 n°1;Turbine 1 er jet n°1;0947AR;8/21/09;SAPAG;95;95;95;TOR;0;Boule;2009;100;2009;2109;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV11120267;Lavage jupe turbine 1 n°2;Turbine 1 er jet n°2;0947AR;8/21/09;SAPAG;96;96;96;TOR;0;Boule;2009;100;2009;2109;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV11120363;Lavage jupe turbine 1 n°3;Turbine 1 er jet n°3;0947AR;8/21/09;SAPAG;97;97;97;TOR;0;Boule;2009;100;2009;2109;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV11120475;Lavage jupe turbine 1 n°4;Turbine 1 er jet n°4;0947AR;8/21/09;SAPAG;98;98;98;TOR;0;Boule;2009;100;2009;2109;;;;;;;;;;;;;;;;;;;;;
Cristallisation;LV 07 02 0085;Niveau bac à liqueur standard n° 1 (sortie CLS);Bac à liqueur standard n° 1;;;MASONEILAN;99;99;99;;REG;OPERCULE;;21;2003;2024;;;;;;;;;;;;;;;;;;;;;
