ID VANNE;AFFECTATION;MACHINE;NUM ACTIONNNEUR;ATELIER;NUM CORPS;NUM POSITIONNEUR;FOURNISSEUR  VANNE;Repère;DATE ACHAT;VUE EN;FREQ. REVISION;ORGANE  REGLANT;typeVannes;A VOIR EN;N° COMMANDE
1;"     ""Vannes bassins"" circulation";Bassins;1;1;1;NULL;10;LOCALE;2003;2003;100;PAPILLON;TOR;2103;030034 AR
2;"""Vannes bassins"" prise d'échantillon";Bassins;2;1;2;NULL;10;LOCALE;2003;2003;100;PAPILLON;TOR;2103;030034 AR
3;"     ""Vannes bassins"" circulation";Bassins;3;1;3;NULL;10;LOCALE;2003;2003;100;PAPILLON;TOR;2103;030034 AR
4;Appoint d'eau ;Pompes à boues;4;1;4;NULL;2;LOCALE;2001;2001;100;PAPILLON;TOR;2101;NULL
5;Chasse décanteur;Decanteur;5;1;5;NULL;24;EV01260673;2022;NULL;100;Pelle;TOR;2122;2243AR
6;Debit eau decantee;Lavoir;6;1;6;6;25;FCV20;2020;2020;10;PAPILLON;REG;2030;2006AR
7;Débit transport herbes;Cour;7;1;7;7;10;FV 01 01 AW610;NULL;2012;100;PAPILLON;REG;2112;NULL
8;Niveau bac à herbes;Bac à herbes lavoir;8;1;8;8;2;FV 01 01 AW526;NULL;2010;100;PAPILLON;REG;2110;NULL
9;Niveau bac eau mitrailleuses;Point de nuit;9;1;9;9;2;LOCALE;NULL;2018;100;PAPILLON;REG;2118;NULL
10;Niveau tremie eau (vanne eau château d'eau);Trémie eau lavoir;10;1;10;10;2;2 FV 01 01 AW536;NULL;2003;100;PAPILLON;REG;2103;NULL
11;pompes a eaux terreuses;Pompes à eaux terreuses;11;1;11;11;24;LV01010626;13/04/2022;NULL;100;Pelle;REG;44764;2217AR
12;Rechange pompes a eaux terreuse;Pompe a eaux terreuses;12;1;12;NULL;24;NULL;2022;NULL;100;Pelle;REG;2122;2243AR
13;Vanne accelerateur manuel point fixe 1;Accelerateurs point fixe;13;1;13;NULL;2;NULL;2019;2019;100;PAPILLON;TOR;2119;1912AR
14;Vanne accelerateur manuel point fixe 2;Accelerateurs point fixe;14;1;14;NULL;2;NULL;2019;2019;100;PAPILLON;TOR;2119;1912AR
15;Vanne accelerateur manuel point fixe 3;Accelerateurs point fixe;15;1;15;NULL;2;NULL;2019;2019;100;PAPILLON;TOR;2119;1912AR
16;Vanne alimentation point de jour;Point de nuit;16;1;16;NULL;25;EV01010555;2022;NULL;10;PAPILLON;TOR;2032;2206AR
17;Vanne alimentation point de nuit;Point de nuit;17;1;17;NULL;25;EV01010554;2022;NULL;10;PAPILLON;TOR;2032;2206AR
18;Air de refroidissement;Sécheur à sucre;18;2;18;18;18;TV 01 22 0598;2013;2013;100;OPERCULE;REG;2113;13003 DT
19;Air de séchage eau chaude;Sécheur à sucre;19;2;19;19;18;TV 01 22 0592;2013;2013;100;OPERCULE;REG;2113;13003 DT
20;Air de séchage vapeur;Sécheur à sucre;20;2;20;20;18;TV 02 22 0594;2013;2013;100;OPERCULE;REG;2113;13003 DT
21;Alimentation masse cuite 2ème jet BMA K 3300 n°1;Turbines de 2ème jet;21;2;21;21;3;NULL;2012;2020;5;PAPILLON;REG;2025;NULL
